0,1,2,3,4
Ordinance  Number,Adoption  Date,Section,Section  this Code,
,4-3-1991,,16-400,
,,,16-401,
,,,16-402,
,,,16-403,
,,,16-404,
,,,16-405,
,,,16-406,
,,,16-407,
,,,16-408,
,,,16-409,
,,,16-410,
,,,16-411,
,,,16-412,
,,,16-413,
,,,16-414,
,,,16-415,
,,,16-416,
,,,16-417,
,,,16-418,
,,,16-419,
,,,16-420,
,,,16-421,
,,,16-422,
,,,16-423,
,,,16-424,
,4-17-1991,,12-101,
,,,12-104,
,,,12-105,
,,,12-107,
,,,12-108,
,7-7-1992,,7-210,
,9-15-1993,,10-109,
,5-4-1994,,10-111,
94-4(12),8-3-1994,,4-210,
,,,4-211,
,,,4-212,
,,,4-213,
,,,4-214,
,,,4-215,
,,,4-216,
,,,4-217,
,,,4-218,
,,,4-219,
,,,4-220,
94-11(9),8-3-1994,,8-602,
94-8(10),8-3-1994,,15-800,
,,,15-805,
94-4(2),8-17-1994,,4-225,
,,,4-226,
94-8(2),11-2-1994,,15-600,
,,,15-601,
,,,15-603,
94-8(4),11-2-1994,,15-106,
94-10.1(1),12-7-1994,,2-502,
94-3(1),12-7-1994,,12-207,
,,,12-208,
94-4(3),12-7-1994,,4-225,
,,,4-226,
95-4(1),1-4-1995,,4-225,
,,,4-226,
95-6(1),1-11-1995,,2-100,
,,,2-101,
,,,2-102,
,,,2-103,
,,,2-104,
,,,2-105,
,,,2-106,
95-20(1),3-15-1995,,"Ch. 18, 10.2.2",
95-3(1),4-5-1995,,12-208,
95-9(1),5-3-1995,,6-310,
95-2(1),6-14-1995,,2-202,
95-4(2),9-6-1995,,4-225,
,,,4-226,
95-8(2),10-4-1995,,15-101,
,,,15-103,
,,,15-104,
,,,15-108,
95-20(3),10-11-1995,,"Ch. 18, 10.2.2",
,,,"Ch. 18, 5.1.47",
95-20(4),10-11-1995,,"Ch. 18, 5.1.47",
95-20(5),11-15-1995,,"Ch. 18, 10.2.1",
,,,"Ch. 18, 10.2.2",
96-3(1),8-7-1996,,12-207,
,,,12-208,
96-11(1),11-13-1996,,8-100,
,,,8-101,
,,,8-102,
,,,8-103,
,,,8-208,
,,,8-300,
,,,8-301,
,,,8-302,
,,,8-303,
,,,8-304,
,,,8-400,
,,,8-401,
,,,8-402,
,,,8-403,
,,,8-404,
,,,8-500,
,,,8-501,
,,,8-600,
,,,8-601,
,,,8-602,
,,,8-603,
,,,8-700,
,,,8-701,
,,,8-702,
,,,8-703,
,,,8-704,
,,,8-705,
,,,8-706,
,,,8-707,
,,,8-708,
,,,8-709,
,,,8-710,
,,,8-711,
,,,8-712,
,,,8-713,
,,,8-714,
,,,8-715,
,,,8-800,
96-8(2),12-11-1996,,15-709,
,,,15-711,
97-9(1),1-8-1997,,6-310,
,,,6-311,
97-1(1),2-12-1997,,1-303,
97-11(1),5-7-1997,,8-403,
,,,8-404,
,,,8-711,
97-12(1),5-21-1997,,9-100,
,,,9-106,
,,,9-108,
,,,9-111,
97-12(2),7-9-1997,,9-104,
,,,9-108,
98-20(1),4-1-1998,,"Ch. 18, 5.1.22",
98-8(2),6-10-1998,,15-900,
,,,15-902,
,,,15-903,
,,,15-904,
,,,15-905,
,,,15-906,
98-2(1),6-17-1998,,2-202,
98-A(1),8-5-1998,,1-100,
,,,1-101,
,,,1-102,
,,,1-103,
,,,1-104,
,,,1-200,
,,,1-202,
,,,1-203,
,,,1-300,
,,,1-301,
,,,1-302,
,,,1-303,
,,,1-304,
,,,1-305,
,,,1-306,
,,,1-400,
,,,2-100,
,,,2-101,
,,,2-102,
,,,2-103,
,,,2-104,
,,,2-105,
,,,2-106,
,,,2-107,
,,,2-200,
,,,2-201,
,,,2-202,
,,,2-300,
,,,2-400,
,,,2-401,
,,,2-402,
,,,2-500,
,,,2-501,
,,,2-502,
,,,2-503,
,,,2-600,
,,,2-601,
,,,2-602,
,,,2-603,
,,,2-700,
,,,2-701,
,,,2-702,
,,,2-800,
,,,2-801,
,,,2-802,
,,,2-803,
,,,2-804,
,,,2-805,
,,,2-900,
,,,2-901,
,,,2-903,
,,,2-904,
,,,2-904,
,,,2-904,
,,,2-905,
,,,2-906,
,,,2-907,
,,,2-908,
,,,3-100,
,,,3-101,
,,,3-103,
,,,3-104,
,,,3-200,
,,,3-201,
,,,3-202,
,,,3-203,
,,,3-204,
,,,3-205,
,,,3-206,
,,,3-207,
,,,3-208,
,,,3-209,
,,,3-211,
,,,3-212,
,,,3-213,
,,,3-215,
,,,3-218,
,,,3-219,
,,,3-220,
,,,3-221,
,,,3-222,
,,,3-223,
,,,3-224,
,,,3-225,
,,,3-226,
,,,3-227,
,,,3-228,
,,,3-229,
,,,3-231,
,,,3-232,
,,,3-233,
,,,3-300,
,,,3-301,
,,,3-302,
,,,3-303,
,,,3-304,
,,,3-305,
,,,3-306,
,,,4-103,
,,,4-200,
,,,4-201,
,,,4-202,
,,,4-203,
,,,4-204,
,,,4-206,
,,,4-207,
,,,4-208,
,,,4-209,
,,,4-210,
,,,4-211,
,,,4-212,
,,,4-213,
,,,4-214,
,,,4-215,
,,,4-216,
,,,4-217,
,,,4-218,
,,,4-219,
,,,4-220,
,,,4-225,
,,,4-226,
,,,4-227,
,,,4-228,
,,,4-230,
,,,4-231,
,,,4-232,
,,,4-233,
,,,4-234,
,,,4-236,
,,,4-301,
,,,4-302,
,,,4-304,
,,,4-305,
,,,4-306,
,,,4-307,
,,,4-308,
,,,4-309,
,,,4-311,
,,,4-312,
,,,4-314,
,,,4-315,
,,,4-316,
,,,4-317,
,,,4-318,
,,,5-100,
,,,5-102,
,,,5-103,
,,,5-104,
,,,5-105,
,,,5-106,
,,,5-200,
,,,5-201,
,,,5-202,
,,,5-203,
,,,5-204,
,,,5-206,
,,,5-207,
,,,5-208,
,,,5-209,
,,,5-300,
,,,5-301,
,,,5-304,
,,,5-400,
,,,5-401,
,,,5-402,
,,,5-403,
,,,6-111,
,,,6-200,
,,,6-201,
,,,6-202,
,,,6-203,
,,,6-204,
,,,6-205,
,,,6-300,
,,,6-301,
,,,6-302,
,,,6-303,
,,,6-304,
,,,6-305,
,,,6-306,
,,,6-307,
,,,6-308,
,,,6-309,
,,,6-310,
,,,6-311,
,,,6-400,
,,,6-401,
,,,6-402,
,,,6-403,
,,,6-404,
,,,6-405,
,,,6-406,
,,,6-407,
,,,6-408,
,,,7-100,
,,,7-101,
,,,7-102,
,,,7-103,
,,,7-104,
,,,7-105,
,,,7-106,
,,,7-108,
,,,7-200,
,,,7-201,
,,,7-202,
,,,7-203,
,,,7-204,
,,,7-205,
,,,7-206,
,,,7-207,
,,,7-208,
,,,7-209,
,,,7-210,
,,,7-300,
,,,7-301,
,,,7-302,
,,,7-303,
,,,7-304,
,,,7-305,
,,,7-306,
,,,7-307,
,,,7-308,
,,,7-400,
,,,7-401,
,,,7-402,
,,,7-403,
,,,7-404,
,,,7-405,
,,,8-100,
,,,8-101,
,,,8-102,
,,,8-103,
,,,8-208,
,,,8-300,
,,,8-301,
,,,8-302,
,,,8-303,
,,,8-304,
,,,8-400,
,,,8-401,
,,,8-402,
,,,8-403,
,,,8-404,
,,,8-500,
,,,8-501,
,,,8-600,
,,,8-601,
,,,8-602,
,,,8-603,
,,,8-700,
,,,8-701,
,,,8-702,
,,,8-703,
,,,8-704,
,,,8-705,
,,,8-706,
,,,8-707,
,,,8-708,
,,,8-709,
,,,8-710,
,,,8-711,
,,,8-712,
,,,8-713,
,,,8-714,
,,,8-715,
,,,8-800,
,,,9-100,
,,,9-101,
,,,9-102,
,,,9-103,
,,,9-104,
,,,9-105,
,,,9-106,
,,,9-107,
,,,9-108,
,,,9-109,
,,,9-110,
,,,9-111,
,,,9-112,
,,,9-113,
,,,9-114,
,,,9-115,
,,,9-116,
,,,9-117,
,,,9-200,
,,,9-201,
,,,9-202,
,,,9-203,
,,,9-204,
,,,9-300,
,,,9-301,
,,,9-302,
,,,9-303,
,,,9-400,
,,,9-401,
,,,9-402,
,,,10-100,
,,,10-101,
,,,10-102,
,,,10-103,
,,,10-105,
,,,10-104,
,,,10-105,
,,,10-106,
,,,10-107,
,,,10-108,
,,,10-109,
,,,10-110,
,,,10-111,
,,,10-112,
,,,10-113,
,,,10-114,
,,,10-115,
,,,10-116,
,,,10-117,
,,,10-119,
,,,10-120,
,,,10-121,
,,,10-122,
,,,11-100,
,,,11-101,
,,,11-102,
,,,11-103,
,,,11-104,
,,,11-105,
,,,11-106,
,,,11-107,
,,,11-108,
,,,11-109,
,,,11-110,
,,,11-111,
,,,11-112,
,,,11-113,
,,,11-114,
,,,11-115,
,,,11-116,
,,,11-117,
,,,11-118,
,,,11-119,
,,,11-120,
,,,11-200,
,,,11-201,
,,,11-202,
,,,11-203,
,,,11-300,
,,,11-301,
,,,11-302,
,,,11-304,
,,,11-305,
,,,11-306,
,,,12-101,
,,,12-104,
,,,12-105,
,,,12-107,
,,,12-108,
,,,12-200,
,,,12-201,
,,,12-202,
,,,12-203,
,,,12-204,
,,,12-205,
,,,12-206,
,,,12-207,
,,,12-208,
,,,12-209,
,,,12-300,
,,,12-302,
,,,12-303,
,,,12-304,
,,,12-305,
,,,12-306,
,,,12-307,
,,,12-308,
,,,12-309,
,,,12-310,
,,,12-311,
,,,12-312,
,,,12-400,
,,,12-402,
,,,12-403,
,,,12-404,
,,,12-405,
,,,12-406,
,,,12-500,
,,,12-502,
,,,12-503,
,,,12-504,
,,,12-505,
,,,12-506,
,,,13-100,
,,,13-101,
,,,13-102,
,,,13-103,
,,,13-104,
,,,13-105,
,,,13-200,
,,,13-201,
,,,13-202,
,,,13-300,
,,,13-301,
,,,13-302,
,,,13-304,
,,,14-100,
,,,14-101,
,,,14-102,
,,,14-103,
,,,14-104,
,,,14-105,
,,,14-106,
,,,14-107,
,,,14-108,
,,,14-200,
,,,14-201,
,,,14-202,
,,,14-202.1,
,,,14-203,
,,,14-203.1,
,,,14-204,
,,,14-205,
,,,14-206,
,,,14-207,
,,,14-208,
,,,14-208.1,
,,,14-209,
,,,14-211,
,,,14-212,
,,,14-212.1,
,,,14-212.2,
,,,14-213,
,,,14-215,
,,,14-218,
,,,14-219,
,,,14-222,
,,,14-223,
,,,14-224,
,,,14-225.1,
,,,14-226,
,,,14-227,
,,,14-230,
,,,14-231,
,,,14-231.1,
,,,14-232,
,,,14-234,
,,,14-235,
,,,14-300,
,,,14-302,
,,,14-303,
,,,14-305,
,,,14-308,
,,,14-309,
,,,14-310,
,,,14-311,
,,,14-314,
,,,14-317,
,,,14-400,
,,,14-401,
,,,14-402,
,,,14-403,
,,,14-404,
,,,14-405,
,,,14-406,
,,,14-407,
,,,14-408,
,,,14-409,
,,,14-410,
,,,14-411,
,,,14-412,
,,,14-413,
,,,14-414,
,,,14-415,
,,,14-416,
,,,14-417,
,,,14-418,
,,,14-419,
,,,14-420,
,,,14-421,
,,,14-423,
,,,14-424,
,,,14-427,
,,,14-428,
,,,14-430,
,,,14-431,
,,,14-432,
,,,14-433,
,,,14-434,
,,,14-435,
,,,14-435.1,
,,,14-436,
,,,14-437,
,,,14-438,
,,,14-439,
,,,14-440,
,,,15-1000,
,,,15-1001,
,,,15-1002,
,,,15-1003,
,,,15-1004,
,,,15-1005,
,,,15-1007,
,,,15-1008,
,,,15-101,
,,,15-103,
,,,15-104,
,,,15-105,
,,,15-106,
,,,15-107,
,,,15-108,
,,,15-1100,
,,,15-1101,
,,,15-200,
,,,15-201,
,,,15-205,
,,,15-300,
,,,15-400,
,,,15-401,
,,,15-500,
,,,15-502,
,,,15-600,
,,,15-601,
,,,15-602,
,,,15-603,
,,,15-604,
,,,15-606,
,,,15-607,
,,,15-700,
,,,15-701,
,,,15-702,
,,,15-705,
,,,15-706,
,,,15-707,
,,,15-708,
,,,15-709,
,,,15-710,
,,,15-711,
,,,15-712,
,,,15-713,
,,,15-714,
,,,15-715,
,,,15-716,
,,,15-717,
,,,15-718,
,,,15-800,
,,,15-802,
,,,15-805,
,,,15-900,
,,,15-901,
,,,15-902,
,,,15-903,
,,,15-904,
,,,15-905,
,,,15-906,
,,,16-100,
,,,16-101,
,,,16-102,
,,,16-103,
,,,16-104,
,,,16-105,
,,,16-106,
,,,16-107,
,,,16-108,
,,,16-200,
,,,16-201,
,,,16-202,
,,,16-203,
,,,16-204,
,,,16-300,
,,,16-301,
,,,16-302,
,,,16-303,
,,,16-304,
,,,16-305,
,,,16-306,
,,,16-307,
,,,16-400,
,,,16-401,
,,,16-402,
,,,16-403,
,,,16-404,
,,,16-405,
,,,16-406,
,,,16-407,
,,,16-408,
,,,16-409,
,,,16-410,
,,,16-411,
,,,16-412,
,,,16-413,
,,,16-414,
,,,16-415,
,,,16-416,
,,,16-417,
,,,16-418,
,,,16-419,
,,,16-420,
,,,16-421,
,,,16-422,
,,,16-423,
,,,16-424,
,,,17-100,
,,,17-101,
,,,17-102,
,,,17-108,
,,,17-200,
,,,17-202,
,,,17-204,
,,,17-205,
,,,17-207,
,,,17-211,
,,,17-302,
,,,17-304,
,,,17-305,
,,,17-306,
,,,17-400,
,,,17-402,
,,,17-403,
,,,17-408,
,,,17-410,
,,,17-413,
,,,17-414,
,,,17-415,
,,,17-416,
,,,17-417,
,,,17-418,
,,,17-419,
,,,17-423,
,,,17-424,
,,,17-500,
,,,17-501,
,,,17-600,
,,,17-601,
,,,17-602,
,,,17-603,
,,,17-604,
,,,17-800,
,,,17-801,
,,,17-804,
,,,17-805,
,,,17-808,
,,,17-810,
,,,17-811,
,,,17-900,
,,,17-901,
,,,17-902,
,,,17-903,
,,,17-904,
,,,"Ch. 18, 10.2.1",
,,,"Ch. 18, 10.2.2",
,,,"Ch. 18, 10.3",
,,,"Ch. 18, 10.3.1",
,,,"Ch. 18, 10.3.3.2",
,,,"Ch. 18, 10.3.3.3",
,,,"Ch. 18, 10.4",
,,,"Ch. 18, 10.5.1",
,,,"Ch. 18, 10.5.2",
,,,"Ch. 18, 12.1",
,,,"Ch. 18, 12.2.1",
,,,"Ch. 18, 12.2.2",
,,,"Ch. 18, 12.3",
,,,"Ch. 18, 12.4.1",
,,,"Ch. 18, 12.4.2",
,,,"Ch. 18, 12.4.3",
,,,"Ch. 18, 12.4.4",
,,,"Ch. 18, 12.5",
,,,"Ch. 18, 24.1",
,,,"Ch. 18, 24.2.2",
,,,"Ch. 18, 24.3",
,,,"Ch. 18, 25.2.2",
,,,"Ch. 18, 25.3",
,,,"Ch. 18, 25A.2.2",
,,,"Ch. 18, 27.2",
,,,"Ch. 18, 27.2",
,,,"Ch. 18, 28.2",
,,,"Ch. 18, 29.3",
,,,"Ch. 18, 3.1",
,,,"Ch. 18, 4.1",
,,,"Ch. 18, 4.2",
,,,"Ch. 18, 4.2.1",
,,,"Ch. 18, 4.2.2",
,,,"Ch. 18, 4.2.3",
,,,"Ch. 18, 4.2.4",
,,,"Ch. 18, 4.2.5",
,,,"Ch. 18, 4.2.6",
,,,"Ch. 18, 4.3.1",
,,,"Ch. 18, 4.4",
,,,"Ch. 18, 4.6.1",
,,,"Ch. 18, 4.6.2",
,,,"Ch. 18, 4.6.4",
,,,"Ch. 18, 4.6.5",
,,,"Ch. 18, 4.6.6",
,,,"Ch. 18, 4.6.7",
,,,"Ch. 18, 4.7",
,,,"Ch. 18, 4.8.2",
,,,"Ch. 18, 5.3.1",
,,,"Ch. 18, 5.3.2",
,,,"Ch. 18, 5.3.3",
,,,"Ch. 18, 5.3.4",
,,,"Ch. 18, 5.3.5",
,,,"Ch. 18, 5.3.6",
,,,"Ch. 18, 5.3.7",
,,,"Ch. 18, 5.3.8",
,,,"Ch. 18, 5.5.1",
,,,"Ch. 18, 5.5.2",
,,,"Ch. 18, 5.5.3",
,,,"Ch. 18, 5.5.4",
,,,"Ch. 18, 5.5.5",
,,,"Ch. 18, 5.5.6",
,,,"Ch. 18, 5.6",
,,,"Ch. 18, 5.7",
,,,"Ch. 18, 5.7.1",
,,,"Ch. 18, 5.8",
,,,"Ch. 18, 6.4",
,,,"Ch. 18, 9.4",
,,,"Ch. 18, 5.2",
98-9(1),8-5-1998,,9-401,
98-18(1),8-12-1998,,"Ch. 18, 3.1",
,,,"Ch. 18, 32.6.2",
,,,"Ch. 18, 4.17",
,,,"Ch. 18, 4.17.1",
,,,"Ch. 18, 4.17.2",
,,,"Ch. 18, 4.17.4",
,,,"Ch. 18, 4.17.5",
,,,"Ch. 18, 4.17.6",
98-3(1),9-9-1998,,3-211,
,,,3-215,
,,,3-225,
,,,3-228,
98-18(2),9-16-1998,,"Ch. 18, 30.3.11",
98-17(1),11-11-1998,,17-207,
98-4(1),12-2-1998,,4-225,
,,,4-226,
99-3(1),1-13-1999,,3-233,
,,,3-209,
99-3(2),2-10-1999,,3-211,
,,,3-225,
99-3(3),3-17-1999,,3-228,
99-18(1),4-14-1999,,"Ch. 18, 29.3",
99-2(1),5-5-1999,,2-202,
99-3(4),5-12-1999,,3-211,
,,,3-226,
,,,3-233,
99-14(1),6-16-1999,,14-203,
99-18(4),6-16-1999,,"Ch. 18, 10.2.2",
,,,"Ch. 18, 24.2.2",
99-3(5),10-6-1999,,3-209,
,,,3-212,
,,,3-225,
,,,3-230,
,,,3-231,
,,,3-307,
99-15(1),11-3-1999,,15-802,
00-18(4),4-12-2000,,"Ch. 18, 30.6.2",
00-3(1),4-19-2000,,3-207,
,,,3-212,
,,,3-222,
,,,3-226,
00-4(1),5-3-2000,,4-225,
,,,4-226,
00-2(1),6-7-2000,,2-202,
00-15(1),6-7-2000,,15-1000,
00-18(3),6-14-2000,,"Ch. 18, 3.1",
,,,"Ch. 18, 4.14.1",
,,,"Ch. 18, 4.18",
,,,"Ch. 18, 4.18.01",
,,,"Ch. 18, 4.18.03",
,,,"Ch. 18, 4.18.04",
,,,"Ch. 18, 4.18.05",
,,,"Ch. 18, 4.18.06",
,,,"Ch. 18, 5.1.11",
,,,"Ch. 18, 4.18.07",
00-18(4),6-14-2000,,"Ch. 18, 10.3.1",
,,,"Ch. 18, 6.1",
,,,"Ch. 18, 6.2",
,,,"Ch. 18, 6.3",
,,,"Ch. 18, 6.4",
00-18(5),6-14-2000,,"Ch. 18, 36.3",
,,,"Ch. 18, 36.4",
,,,"Ch. 18, 36.5",
00-A.1(1),7-5-2000,,A.1-100,
,,,A.1-101,
,,,A.1-102,
,,,A.1-103,
,,,A.1-104,
,,,A.1-105,
,,,A.1-106,
,,,A.1-107,
,,,A.1-108,
,,,A.1-109,
,,,A.1-110,
,,,A.1-111,
,,,A.1-112,
,,,A.1-113,
00-3(2),7-12-2000,,3-218,
00-2(2),8-2-2000,,2-401,
,,,2-904,
00-16(1),8-2-2000,,16-500,
00-3(3),9-13-2000,,3-207,
,,,3-224,
00-15(2),9-20-2000,,15-709,
,,,15-710,
00-15(3),10-4-2000,,15-600,
,,,15-601,
00-8(1),10-11-2000,,8-712,
00-15(4),10-11-2000,,15-1200,
,,,15-1201,
,,,15-1202,
,,,15-1203,
00-18(6),10-18-2000,,"Ch. 18, 10.2.2",
01-18(2),3-21-2001,,"Ch. 18, 10.2.2",
01-14(1),5-9-2001,,14-206,
,,,14-213,
01-18(3),5-9-2001,,"Ch. 18, 21.5",
,,,"Ch. 18, 3.1",
,,,"Ch. 18, 30.6.2",
,,,"Ch. 18, 30.6.3",
,,,"Ch. 18, 30.6.4",
,,,"Ch. 18, 4.15.1",
,,,"Ch. 18, 4.15.10",
,,,"Ch. 18, 4.15.11",
,,,"Ch. 18, 4.15.12",
,,,"Ch. 18, 4.15.13",
,,,"Ch. 18, 4.15.14",
,,,"Ch. 18, 4.15.15",
,,,"Ch. 18, 4.15.16",
,,,"Ch. 18, 4.15.18",
,,,"Ch. 18, 4.15.19",
,,,"Ch. 18, 4.15.20",
,,,"Ch. 18, 4.15.4",
,,,"Ch. 18, 4.15.5",
,,,"Ch. 18, 4.15.6",
,,,"Ch. 18, 4.15.8",
,,,"Ch. 18, 4.15.9",
,,,"Ch. 18, 5.2",
01-18(4),5-9-2001,,"Ch. 18, 32.3.5",
,,,"Ch. 18, 32.3.6",
,,,"Ch. 18, 4.10.3.1",
,,,"Ch. 18, 4.12.13",
,,,"Ch. 18, 4.17.5",
,,,"Ch. 18, 4.18.07",
,,,"Ch. 18, 4.2.5",
,,,"Ch. 18, 5.1",
01-2(1),5-9-2001,,2-100,
,,,2-101,
,,,2-102,
,,,2-103,
,,,2-104,
,,,2-105,
,,,2-106,
,,,2-107,
01-18(5),5-16-2001,,"Ch. 18, 4.10.3.1",
01-2(2),6-6-2001,,2-202,
01-6(1),6-6-2001,,6-300,
,,,6-301,
,,,6-303,
,,,6-304,
,,,6-305,
,,,6-306,
,,,6-307,
,,,6-308,
01-3(1),6-20-2001,,3-219,
,,,3-220,
,,,3-232,
01-3(2),7-11-2001,,3-207,
01-17(1),7-11-2001,,17-400,
,,,17-402,
,,,17-500,
01-3(3),8-8-2001,,3-208,
01-18(6),10-3-2001,,"Ch. 18, 10.3.1",
,,,"Ch. 18, 27.2",
,,,"Ch. 18, 3.1",
,,,"Ch. 18, 30.3.7",
,,,"Ch. 18, 30.5.5",
,,,"Ch. 18, 31.2",
,,,"Ch. 18, 31.3",
,,,"Ch. 18, 31.3",
,,,"Ch. 18, 31.4",
,,,"Ch. 18, 31.5",
,,,"Ch. 18, 32.4.2.4",
,,,"Ch. 18, 32.4.2.6",
,,,"Ch. 18, 32.4.3.5",
,,,"Ch. 18, 32.7.9.4",
,,,"Ch. 18, 33.1",
,,,"Ch. 18, 33.10",
,,,"Ch. 18, 33.11",
,,,"Ch. 18, 33.12",
,,,"Ch. 18, 33.13",
,,,"Ch. 18, 33.14",
,,,"Ch. 18, 33.15",
,,,"Ch. 18, 33.16",
,,,"Ch. 18, 33.17",
,,,"Ch. 18, 33.18",
,,,"Ch. 18, 33.19",
,,,"Ch. 18, 33.2",
,,,"Ch. 18, 33.20",
,,,"Ch. 18, 33.23",
,,,"Ch. 18, 33.24",
,,,"Ch. 18, 33.25",
,,,"Ch. 18, 33.26",
,,,"Ch. 18, 33.27",
,,,"Ch. 18, 33.29",
,,,"Ch. 18, 33.3",
,,,"Ch. 18, 33.30",
,,,"Ch. 18, 33.31",
,,,"Ch. 18, 33.32",
,,,"Ch. 18, 33.33",
,,,"Ch. 18, 33.34",
,,,"Ch. 18, 33.36",
,,,"Ch. 18, 33.37",
,,,"Ch. 18, 33.38",
,,,"Ch. 18, 33.39",
,,,"Ch. 18, 33.4",
,,,"Ch. 18, 33.40",
,,,"Ch. 18, 33.42",
,,,"Ch. 18, 33.44",
,,,"Ch. 18, 33.45",
,,,"Ch. 18, 33.5",
,,,"Ch. 18, 33.52",
,,,"Ch. 18, 33.53",
,,,"Ch. 18, 33.54",
,,,"Ch. 18, 33.6",
,,,"Ch. 18, 33.7",
,,,"Ch. 18, 33.8",
,,,"Ch. 18, 33.9",
,,,"Ch. 18, 36.1",
,,,"Ch. 18, 4.12.15",
,,,"Ch. 18, 4.12.16",
,,,"Ch. 18, 4.12.4",
,,,"Ch. 18, 4.6.2",
,,,"Ch. 18, 4.8.2",
,,,"Ch. 18, 4.9",
,,,"Ch. 18, 5.1.02",
,,,"Ch. 18, 5.1.06",
,,,"Ch. 18, 5.1.07",
,,,"Ch. 18, 5.1.09",
,,,"Ch. 18, 5.1.14",
,,,"Ch. 18, 5.1.22",
,,,"Ch. 18, 5.1.28",
,,,"Ch. 18, 5.1.47",
,,,"Ch. 18, 5.1.56",
,,,"Ch. 18, 5.3.8",
,,,"Ch. 18, 9.4",
,,,"Ch. 18, 23.2.1",
01-18(7),10-17-2001,,"Ch. 18, 4.2.2",
,,,"Ch. 18, 4.2.3",
,,,"Ch. 18, 4.2.6",
01-18(8),10-17-2001,,"Ch. 18, 3.1",
,,,"Ch. 18, 4.17.2",
,,,"Ch. 18, 4.17.4",
