Ordinance  Number,Date,Section,Section  this Code
,,,"App. A, § 4542(c)"
,,,"App. A, § 4546"
,,,"App. A, § 4552(b)"
,,,"App. A, § 4552.1"
,,,"App. A, § 4553(b)"
,,,"App. A, § 4555(d)"
,,,"App. A, § 4559(c)"
,,,"App. A, § 4561(c)"
,,,"App. A, § 4564(d)"
,,,"App. A, § 4703(c)"
,,,"App. A, § 5310(i)"
,,,"App. A, § 5426(a)"
,,Added,"App. A, § 5537"
,,,"App. A, § 5601(d)"
,,,"App. A, § 5719(a)"
1442,3-13-07,1,"12-200(b), (c)"
,,,12-202
,,,12-203
,,,"12-205(a), (c)"
,,,12-212
1447,4-24-07,1,18-201(b)
,,,18-400
,,,20-206
,,,24-301(b)(1)
,,,24-306
,,,24-314(a)
,,,"24-602(a), (d)"
1450,5-29-07,1,"App. A, § 2103"
,,,"App. A, § 3151(b)"
,,Added,"App. A, § 4560"
1451,5- 8-07,1,23-100
,,,23-101(A)4.
,,Added,23-101(A)13.
,,2  Rpld,23-102
1452,7-10-07,1  Added,12-310
1454,8-14-07,1,18-403
,,,18-404
,,,24-608
1455,8-14-07,1  Added,2-300(d)
,,,16-116(1)
1456,8-14-07,,4-301(a)
,,,4-401(c)
,,,5-200(b)(2)
,,,5-202(d)
,,,7-109(c)
,,,8-103(a)(2)
,,,11-101
,,,11-301
,,,11-308(d)
,,,11-400(a)(1)
,,,"11-500(a), (b)"
,,,11-504(c)
,,,12-203(b)
,,,12-414(c)
,,,12-500
,,,12-502(a)
,,,12-602(a)
,,,"12-612(a), (e)"
,,,14-101
,,,14-102(1)
,,,14-107(a)
,,,14-202(a)
,,,"16-304(a), (f)"
,,,"16-402(a), (b)"
,,,17-308(b)(6)a.
,,,18-100
,,,18-305(a)
,,,18-603(a)
,,,20-209
,,,"21-612(d), (g)"
,,,22-127
,,,23-111(a)
,,,24-613
1457,8-14-07,1,23-110
1458,9-11-07,1,12-113
1462,11-13-07,1,10-100
,,,10-102—10-104
,,,"10-105(b), (c), (f)"
,,Added,"10-105(g), (h)"
,,,"10-106(a), (c)"
,,,10-107
,,,10-108
,,,"10-200(a), (c), (e), (f)"
,,,10-201(a)
,,Added,10-201(b)—(e)
,,,10-202
,,,10-203
,,,10-204(a)
,,,10-205
,,,10-208(2)
,,,"10-210(a), (c)"
,,Added,10-210(d)
,,,10-211(4)
,,Added,10-211(5)
,,,10-213
1419,12-12-07,1,"App. A, § 1124"
,,,"App. A, § 1160(d)"
,,Added,"App. A, § 1211(c)"
,,,"App. A, § 1213 A."
,,,"App. A, § 1233"
,,Rpld,"App. A, § 1234(c)"
,,Rnbd,"App. A, § 1234(d)—(i)"
,,as,"App. A, § 1234(c)—(h)"
,,Added,"App. A, § 1235"
,,,"App. A, § 1237(c)"
,,,"App. A, § 1240(a), (f)"
,,,"App. A, § 5110(f)"
,,,"App. A, § 5440(e)"
,,,"App. A, § 5790(a)"
1465,2-12-08,1(a)  Added,2-409
,,1(b),2-410(a)—(d)
,,Rpld,"2-410(e), (f)"
,,,2-411(a)
,,,2-412(a)
,,,6-102(a)
,,Rpld,6-102(b)
,,Rnbd,"6-102(c), (d)"
,,as,"6-102(b), (c)"
,,,"6-102(b), (c)"
,,,6-402(b)
,,Rpld,6-403(a)
,,Rnbd,"6-403(b), (c)"
,,as,"6-403(a), (b)"
,,,"6-403(a), (b)"
,,,6-405(b)
,,,6-407(a)
,,,6-408(a)
,,,18-203
,,,18-204
,,,18-301
,,,18-302
,,,18-601
,,,18-602
,,,18-605
,,,21-101
,,,21-103
,,,21-109(b)
,,,"21-301(a), (b)"
,,,"21-501(a), (b)"
,,,21-503
,,,21-508
,,,24-200(b)
,,,24-201
,,,24-202
,,,24-308
,,,24-401
,,,24-402
,,,24-702
,,1(c),"App. A, § 1100"
,,,"App. A, § 1205"
,,,"App. A, § 3243(a)(1)"
,,,"App. A, § 3244(b)"
,,,"App. A, § 3245(b)"
,,,"App. A, § 4335(b)(2)b., c."
,,,"App. A, § 5510(b)"
,,1(d),"App. B, § 2-101(a)"
,,,"App. B, § 2-105"
,,,"App. B, § 3-100(c)"
,,,"App. B, § 4-600(c)"
,,,"App. B, § 5-307(b)"
1467,7-14-09,1,18-100
,,,18-106
,,,18-200
,,,18-201
,,,18-202
,,,18-203
,,,18-301—18-303
,,Rltd,"App. B, § 5-700(b)—(e)"
,,As,"App. B, § 5-700(d)—(g)"
,,Added,"App. B, § 5-700(b), (c)"
,,,"App. B, § 5-701"
1468,1- 8-08,,"9-100, 9-101"
1469,1- 8-08,1,12-202
1479,3-11-08,,"22-221(a), 22-222"
1480,3-11-08,,"21-115, 21-116"
,,Added,21-117
1483(Amd.),4- 8-08,Rpld,18-600—18-606
,,Added,18-600—18-623
1485,4-28-08,1,"18-201(b), 18-400(a), (b)"
,,,"20-206, 24-301(b)"
,,,"24-306(a), (b), 24-314(a),"
,,,"24-601, 24-602(a), (d)"
1486,4-28-08,1,22-701
1489(Amd.),4- 8-08,1,12-200(a)
,,Added,"12-200(d), 12-203.1"
,,,"12-203—12-205,"
,,,12-207
,,2  Rpld,"12-208—12-211,"
,,,"12-213, 12-405"
1490,5-13-08,1,6-204(b)
1491,5-13-08,1,"21-301, 21-305"
1493,6-10-08,1,21-613
1494(Amd.),6-10-08,,14-102
,,Added,14-112
1497,8-12-08,1  Added,12-106.1
1499,8-12-08,1,5-200(a)
,,Added,"5-200(c), (d)"
1503,10-14-08,1,12-700
1504,11-11-08,1  Added,2-421
1506,11-11-08,1,12-414
1507,12- 9-08,1  Added,14-113
1509,2-10-09,1,"App. A, § 2103"
,,,"App. A, § 4560"
1512,1-13-09,1,22-221(a)
,,,22-222
,,,22-224(d)
1513,4-14-09,1,18-608
,,,"App. A, Art. I, Div. 8(title)"
,,,"App. A, § 1110"
,,,"App. A, § 1150(e), (f)"
,,,"App. A, § 1153(a)"
,,,"App. A, § 1180"
,,,"App. A, § 1181"
,,,"App. A, § 1182(a)—(d)"
,,,"App. A, § 1183—1186"
,,,"App. A, § 1201(b)(4)"
,,,"App. A, § 1213A.3., 9."
,,,"App. A, § 1233(4)"
,,,"App. A, § 1234(t)"
,,,"App. A, § 2103"
,,,"App. A, § 3022"
,,,"App. A, § 3024"
,,,"App. A, § 3031"
,,,"App. A, § 3041(b)"
,,,"App. A, § 3050"
,,,"App. A, § 3051(a), (b)"
,,,"App. A, § 3060"
,,,"App. A, § 3061(b)"
,,,"App. A, § 3081(b)"
,,,"App. A, § 3091(a), (b)"
,,,"App. A, § 3111(a)"
,,,"App. A, § 3112"
,,,"App. A, § 3121(a)"
,,,"App. A, § 3122"
,,,"App. A, § 3141(a), (b)"
,,,"App. A, § 3151(a), (b)"
,,,"App. A, § 3161(a), (b)"
,,,"App. A, § 3181(a), (b)"
,,,"App. A, § 3191(a), (b)"
,,,"App. A, § 3201(b)"
,,,"App. A, § 3211"
,,,"App. A, § 3233"
,,,"App. A, § 3250"
,,,"App. A, § 3252"
,,,"App. A, § 3253(a)—(c)"
,,,"App. A, § 3262"
,,,"App. A, § 3301(a), (b)"
,,,"App. A, § 4216(a)(7), (b)(5)"
,,,"App. A, § 4220(b)(10), (d)"
,,,"App. A, § 4225(b)(1)g., i."
,,,"App. A, § 4225(b)(2)a., f."
,,,"App. A, § 4231(b)(9), (b)(12)"
,,,"App. A, § 4241(a)(6)"
,,,"App. A, § 4306(a)(6)"
,,,"App. A, § 4307(b)(6)"
,,,"App. A, § 4309(a)(4)"
,,,"App. A, § 4310(b)(6), (b)(7), (c)"
,,,"App. A, § 4313(c)(1), (c)(2)"
,,,"App. A, § 4319(b)(7), (c)"
,,,"App. A, § 4320(a)"
,,,"App. A, § 4321(b)(6), (c)"
,,,"App. A, § 4326(b)(6)"
,,,"App. A, § 4331(b)(4)"
,,,"App. A, § 4339(b)(6)"
,,,"App. A, § 4341(b)(6), (7), (c)"
,,,"App. A, § 4350(a)—(f)"
,,,"App. A, § 4410(c)(6), (e)(1)"
,,,"App. A, § 4420(b)(6), (c)"
,,,"App. A, § 4430(b)(1), (b)(5), (d)(1)"
,,,"App. A, § 4521(b)(2), (7), (9), (d)"
,,,"App. A, § 4523(b)(1), (5)"
,,,"App. A, § 4525(b)(1), (5)"
,,,"App. A, § 4527(a)(1), (7)"
,,,"App. A, § 4529(a)(10), (14)"
,,,"App. A, § 4542(b)(11), (b)(12)"
,,,"App. A, § 4543(b)(3)"
,,,"App. A, § 4552(a)"
,,,"App. A, § 4555(b)(5), (b)(10)"
,,,"App. A, § 4555(c)(1)—(3)"
,,,"App. A, § 4559(b)(4), (b)(8)"
,,,"App. A, § 4560(d), (h), (j)"
,,,"App. A, § 4561(b)(4), (b)(8), (b)(10)"
,,,"App. A, § 4564(b)(4), (b)(8), (c)(1)"
,,,"App. A, § 4720(a), (b)(3), (b)(10)"
,,,"App. A, § 4722(a)(4), (a)(50"
,,,"App. A, § 5100(a), (e)"
,,,"App. A, § 5221(4), (5)"
,,,"App. A, § 5130(a)(15)"
,,,"App. A, § 5510(f)"
,,,"App. A, § 5536(e)"
,,,"App. A, § 5540(c), (e)"
,,,"App. A, § 5719(a), (b)"
,,,"App. A, § 5720(b)"
,,,"App. B, § 4-400"
,,,(b)(3)q.
1517,4-28-09,1,22-502
,,,22-703
1518,4-28-09,1,18-201(b)
,,,"18-400(a), (b)"
,,,20-121
,,"1, 2",20-206
,,"1, 2",24-301(b)
,,"1, 2","24-306(a), (b)"
,,1,24-310(a)
,,"1, 2",24-314(a)
,,"1, 2","24-602(a), (d)"
1519,4-28-09,1  Dltd,12-414(a)(6)
,,Rnbd,"12-414(a)(7), (a)(8)"
,,As,"12-414(a)(6), (a)(7)"
1520,4-14-09,1,4-400
,,,4-401(a)
,,,4-402
,,,4-403
,,,4-407
,,Added,4-409(b)(12)
,,,4-411
,,,4-412
,,,4-413(a)
,,Added,4-413(d)
,,Added,4-418—4-420
1522,7-14-09,1,12-417
,,,12-418
,,Added,12-419—12-426
1529,8-11-09,1,"App. A, § 2103"
,,,"App. A, §§ 3240—3249.1"
,,Added,"App. A, § 3249.2"
,,,"App. B, § 5-101"
1530,7-14-09,1,"App. A, § 3034"
(email),8-18-09,,"App. B,"
,,,§ 5-318(d)
1537,9- 8-09,1,13-100—13-108
1541,10-13-09,1,10-106
,,Added,"10-106(b)(1)—(b)(4), (d)—(f)"
,,Added,10-108(b)—(d)
,,Rnbd,10-207(b)(2)—(b)(6)
,,as,10-207(b)(3)—(b)(7)
,,Added,"10-207(b)(2), (b)(8), (b)(9)"
1542,10-13-09,1,"12-309(b), (f)"
,,Rltd,"12-309(h), (i)"
,,as,"12-309(i), (j)"
,,Added,12-309(h)
1543,10-13-09,1  Added,12-502(d)
,,Added,12-503.1
1544,10-13-09,1  Rpld,24-501
1548,11-10-09,1  Added,2-600—2-608
1550,12- 8-09,1,"App. B, § 3-100"
1552,12- 8-09,1,"16-116(2), (3)"
,,,16-201
1553,12- 8-09,1,22-221(a)
,,,22-222
1554,12- 8-09,1,12-200(a)—(c)
1561,1-12-10,1,12-418(a)(5)
,,,"12-419(e), (g)"
,,Dltd,12-426
,,Added,12-426
1562,1-12-10,1,"Ch. 15, Art. I(title)"
,,,15-100—15-102
,,Dltd,15-103—15-113
,,,"Ch. 15, Art. II(title)"
,,,15-200—15-204
,,2,21-612
,,,21-613
1563,1 -12-10,1,14-109
,,,14-110.5(f)
1566,2- 9-10,1,7-105
1567,2- 9-10,1,2-501
,,,2-502
,,,2-504(c)
,,,2-505(a)
,,Added,2-506
1573,4-27-10,1,"18-400(a), (b)"
,,,20-206
,,,24-310(a)
,,,24-314(a)
,,,"24-602(a), (d)"
1580,8-10-10,1  Rpld,21-200—21-202
,,2  Added,21-200—21-206
1582,8-10-10,1,12-112
1591,10-12-10,1,12-112(b)
1595,11- 9-10,1,"22-221, 22-222"
1598,2- 8-11,1,"App. A, § 203"
,,,"App. A, § 5200"
,,,"App. A, § 5201"
,,,"App. A, § 5202"
,,,"App. A, §§ 5204—5206"
,,,"App. A, § 5210(d), (e)"
,,,"App. A, §§ 5211—5213"
,,Added,"App. A, §§ 5214, 5215"
,,,"App. A, §§ 5220—5223"
,,,"App. A, § 5230"
,,,"App. A, §§ 5240—5242"
,,2  Added,"App. A, Art. V, Div. 2(note)"
1600,3- 8-11,1,"20-130, 20-131"
,,,20-142
,,,20-403
1604,3- 8-11,2,"App. A, § 2103"
,,,"App. A, § 3270"
,,,"App. A, § 3271"
,,,"App. A, §§ 3273—3277"
,,Added,"App. A, §§ 3280—3288"
1607,4-26-11,1,18-201(b)
,,,"18-400(a)(1), (a)(2), (b)(1), (b)(2)"
,,,20-206
,,Added,20-405
,,,"24-301(b)(1)a., (b)(1)b."
,,,"24-306(a), (b)"
,,,24-310(a)
,,,24-314(a)
,,,"24-602(a)(1), (a)(2), (d)"
1611,6-14-11,1,14-109
1612,6-14-11,1  Added,"22-227, 22-228"
1614,6-14-11,1,23-210
,,Rpld,23-212
,,,"23-213, 23-214,"
,,,23-216
,,,23-221
,,,23-224
1615,7-12-11,1  Added,15.5-100—  15.5-111
1623,10-11-11,1,12-611(a)
1625,10-11-11,1  Rpld,24-114
,,Added,24-800—24-805
1626,10-11-11,1  Rpld,13-105
,,2,"13-106(b), (b)(5), (c), (e)"
1627,10-11-11,1  Added,18-109(d)
,,Added,24-306(d)
1628,11- 8-11,1  Added,12-400(a)(18)
1632,1-10-12,1,"App. A, § 3111"
,,,"App. A, § 3113"
,,,"App. A, § 3115"
1633,1-10-12,1,"22-221, 22-222"
1640,3-12-12,1  Rpld,20-404
,,Rnbd,20-405
,,as,20-404
,,Added,20-300—20-302
1643,4-24-12,1,18-201(b)
,,,"18-400(a), (b)"
,,,20-121
,,,20-206
,,,20-404
,,,24-301(b)(1)
,,,"24-306(a), (b)"
,,,24-314(a)
,,,"24-602(a), (d)"
1644,4-24-12,1,22-400(a)
,,,"22-410(a)(1), (a)(2)"
,,,"22-411(a)(1), (a)(2)"
1647,5- 8-12,1,20-130(b)
1649,8-14-12,1,"App. A, § 3023(f)"
,,,"App. A, § 3042(e)"
,,,"App. A, § 3052(f)"
,,,"App. A, § 3062(f)"
1651,8-14-12,1  Added,"App. A, §§ 1206, 1207"
,,,"App. A, § 1210(b)"
,,,"App. A, § 1213A., A.2."
,,Added,"App. A, § 1213G."
1654,9-11-12,1  Added,"App. A, § 5790(e)"
1656,9-11-12,1  Added,6-103
1657,9-11-12,1,5-202(a)—(e)
,,,5-204
,,,13-103(11)
1655,12-11-12,1  Added,"App. A, §§ 3400—3406"
1658,10- 9-12,1  Rpld,17-108
1660,12-11-12,1  Rpld,2-600—2-608
,,Added,2-600—2-611
1666,1- 8-13,1,23-101
1667,12-11-12,1,22-221(a)
,,2,22-222
1668,4- 9-13,1,"App. A, § 4552.1"
,,,"App. A, § 4553(a)"
,,Added,"App. A, § 4555(a)(2)"
1680,5-14-13,1  Added,"App. A, Section 1112"
,,,"App. A, § 1127"
,,,"App. A, § 4216(a)(4)"
,,,"App. A, § 4231(b)(6)"
,,,"App. A, § 4241(a)(2), (d)(3)"
,,,"App. A, § 4304(a)(2)"
,,,"App. A, § 4307(a)(1)"
,,,"App. A, § 4308(2)"
,,,"App. A, § 4309(b)(3), (c)"
,,,"App. A, § 4310(b)(2), (e)"
,,,"App. A, § 4313(b)(2), (d)"
,,,"App. A, § 4319(b)(2), (d)"
,,,"App. A, § 4321(b)(2), (d)"
,,,"App. A, § 4326(b)(2), (c)"
,,,"App. A, § 4331(b)(3), (c)"
,,,"App. A, § 4331.1"
,,,"App. A, § 4333(b)(2)"
,,,"App. A, § 4338(b)(2), (d)"
,,,"App. A, § 4339(b)(3), (d)"
,,,"App. A, § 4341(b)(5), (d)"
,,,"App. A, § 4350(h)"
,,,"App. A, § 4410(b)(5), (f)"
,,,"App. A, § 4420(b)(7), (d)"
,,,"App. A, § 4430(b)(2), (e)"
,,,"App. A, § 4501(h)"
,,,"App. A, § 4501.5(c)"
,,,"App. A, § 4509(d)"
,,,"App. A, § 4510(b)"
,,,"App. A, § 4511(c)"
,,,"App. A, § 4512(b)(4), (c)"
,,,"App. A, § 4513(a)(2)"
,,,"App. A, § 4514"
,,,"App. A, § 4516(c)"
,,,"App. A, § 4521(b)(10), (2)"
,,,"App. A, § 4521.1"
,,,"App. A, § 4521.2"
,,,"App. A, § 4521.3"
,,,"App. A, § 4521.4"
,,,"App. A, § 4522(c)"
,,,"App. A, § 4523(a)(1)"
,,,"App. A, § 4523.1"
,,,"App. A, § 4524(b)"
,,,"App. A, § 4525(b)(10), (c)"
,,,"App. A, § 4526(b)"
,,,"App. A, § 4528.1"
,,,"App. A, § 4528.2"
,,,"App. A, § 4529(a)(1)"
,,,"App. A, § 4531(b)"
,,,"App. A, § 4541(b)"
,,,"App. A, § 4542(b)(15), (c)"
,,,"App. A, § 4544"
,,,"App. A, § 4545"
,,,"App. A, § 4546"
,,,"App. A, § 4552(b)"
,,,"App. A, § 4552.1(b)"
,,,"App. A, § 4553(b)"
,,,"App. A, § 4555(b)(12), (d)"
,,,"App. A, § 4559(b)(11), (c)"
,,,"App. A, § 4560(j)"
,,,"App. A, § 4561(b)(12), (c)"
,,,"App. A, § 4564(b)(11), (d)"
,,,"App. A, § 4565"
,,,"App. A, § 4605(c)"
,,,"App. A, § 4606(b)"
,,,"App. A, § 4607(b)"
,,,"App. A, § 4626(b)"
,,,"App. A, § 4720(e)"
,,,"App. A, § 4722(a)(6)"
,,,"App. A, § 5120(d)(1), (d)(2)"
,,,"App. A, § 5221(4)"
,,,"App. A, § 5310(f)"
,,,"App. A, § 5331(h)"
,,,"App. A, § 5440(c)"
1681,5-14-13,1  Added,"App. A, § 1113"
,,,"App. A, § 1123"
,,,"App. A, § 1140"
,,,"App. A, § 1141"
,,,"App. A, § 1153"
,,,"App. A, § 1160"
,,,"App. A, § 1168"
,,,"App. A, § 1200"
,,,"App. A, § 1210"
,,,"App. A, § 1241"
,,,"App. A, § 1243"
,,,"App. A, § 1245"
,,,"App. A, § 2103"
1684,6-11-13,1,17-201
,,Rpld,17-202
,,Rpld,17-204
,,,"17-205(a), (c)"
,,Rpld,"17-206, 17-207"
,,2,17-400(a)
,,,17-401
,,Rpld,17-402
,,,17-403
,,Rpld,17-404
,,Rpld,"17-406, 17-407"
1685,6-11-13,1,"App. A, § 3141(b)"
1678,4-23-13,1,18-201(b)
,,,"18-400(a),(b)"
,,,20-206
,,,20-404
,,,24-301(b)(1)
,,,"24-306(a),(b)"
,,,24-314(a)
,,,"24-602(a),(d)"
1704,1-14-14,1  Added,21-310
,,,21-501(c)
1705,1-14-14,1,12-505
1707,1-14-14,1,15-100(a)
,,,15-101
,,,21-612(a)
,,,21-613
1708,1-14-14,1,2-302
1713,2-11-14,1  Added,12-405
1720,4-22-14,1,18-201(b)
,,,"18-400(a),(b)"
,,,20-206
,,,24-301(b)(1)
,,,24-306
,,,24-314(a)
,,,"24-602(a),(d)"
1722,5-13-14,1,"App. A, § 2103"
,,,"App. A, § 3141(a)"
,,,"App. A, § 3151(a)"
,,Added,"App. A, § 4547"
,,,"App. A, § 4548"
1725,5-13-14,1  Rpld,24-313
1723,6-10-14,1  Added,18-700—18-709
1724,6-10-14,1,"App. A, § 1103"
,,,"App. A, § 1150(f)"
,,,"App. A, § 1162(d)"
,,,"App. A, § 2103"
,,,"App. A, § 3111"
,,,"App. A, § 3113(b)(1)c., (k)"
,,,"App. A, § 3151(b)"
,,,"App. A, § 3215"
,,,"App. A, § 4509(d), (e)"
,,,"App. A, § 5120(b)"
,,,"App. A, § 5531(d)(5)"
,,,"App. A, § 5562"
1726,6-10-14,1,11-203(e)
1727,6-10-14,1,16-116(3)
,,,16-201(a)
1728,6-10-14,1  Rpld,18-600—18-623
,,Added,18-600—18-629
1741,10-14-14,1  Added,12-101.1
1742,10-14-14,1  Added,22-1000
1744,12- 9-14,1,"App. B, § 3-101"
,,,"App. B, §§ 4-101, 4-102"
,,,"App. B, §§ 4-206(a), 4-207(a)"
1748,12- 9-14,1,2-403
1755,1-13-15,1,2-300
,,Added,2-307
1757,2-10-15,1,7-109(b)
1762,4-14-15,1,23-224
,,Added,23-225
1763,4-28-15,1,18-201(b)
,,,18-400
,,,24-301(b)(1)
,,,"24-306(a), (b)"
,,,24-310(a)
,,,24-314(a)
,,,"24-602(a), (d)"
1765,6- 9-15,1,"12-413(a), (d)"
,,,"12-414(a)—(c), (f)"
,,Added,12-414(g)
,,,12-500—12-504
1768,9- 8-15,1,"App. A, § 1200(a)"
,,,"App. A, § 1240(d)"
,,,"App. A, § 1241"
,,,"App. A, § 2103"
1772,8-11-15,1  Added,18-109(e)
,,Added,24-306(e)
1770,10-13-15,1,"App. A, §§ 3140—3144"
,,,"App. A, § 3281"
,,,"App. A, § 4216"
,,,"App. A, § 4231"
1775,10-13-15,1,5-200(a)
1776,10-13-15,1,"14-103, 14-104"
,,Added,14-103.5
1777,1-12-16,1  Added,"App. A, art. I, div. 18, §§ 1280—1284"
,,,"App. A, § 2103"
,,,"App. A, § 3151(a)"
,,,"App. A, § 3181(a)"
,,,"App. A, § 3191(a)"
,,,"App. A, § 3301(b)"
,,Rpld,"App. A, § 4530"
,,Added,"App. A, art. IV, div. 8, §§ 4800, 4801"
1780,1-12-16,1,11-203(g)
1781,3- 8-16,1,22-703(c)
1789,4-12-16,1,"18-201(b)(1), (2)"
,,,"18-400(a), (b)"
,,,24-301(b)(1)
,,,"24-306(a), (b)"
,,,24-314(a)
,,,24-601(d)
,,,"24-602(a), (d)"
1791,5-10-16,1  Rpld,2-101
,,Added,2-104(e)
,,,2-105
,,Rpld,2-107
,,,2-108—2-111
,,Rpld,2-112
,,Added,2-112—2-122
1794,6-14-16,1,2-602(a)
,,,"App. A, § 3401(a)"
1795,8- 9-16,1,18-702
,,,18-703(e)(1)
,,,18-704(h)
,,,18-705(a)
1798,8- 9-16,1,20-130
,,,20-203
,,,20-402
1799,8- 9-16,1,21-112
1800,10-11-16,1,"App. A, § 1112"
1804,10-11-16,1,21-116
1807,12-13-16,1  Added,"Ch. 6, Art. VI, §§ 6-601—6-606"
,,2,"22-500, 22-501"
1809,1-10-17,,12-606
,,,12-611
,,,12-614
1810,1-10-17,1,21-117
,,Added,21-118
1811,1-10-17,1,20-120(a)
,,,20-130(b)
,,,20-142
,,,20-206
,,,20-403
,,,20-404
1814,3-14-17,1  Added,21-630
1816,4-11-17,1  Added,"App. A, Div. 17, §§ 1270, 1271"
,,,"App. A, § 2103"
,,,"App. A, § 3021"
,,,"App. A, § 3031"
,,,"App. A, § 3032"
,,,"App. A, § 3041"
,,,"App. A, § 3042"
,,Added,"App. A, § 4201"
1819,3-14-17,1,13-103
,,,13-104(2)
1822,4-11-17,1,18-303(c)
,,,24-403(c)
1823,6-13-17,1  Added,5-117
1826,5- 9-17,1,18-201(b)
,,,"18-400(a)(1), (b)"
,,,20-206
,,,24-301(b)(1)
,,,"24-306(a), (b)"
,,,24-310(a)
,,,"24-602(a), (d)"
1830,5- 9-17,1,23-100
,,,23-101
,,Added,23-102
,,,23-111
,,Added,23-112
1831,5- 9-17,1,16-116(1)
1838,8- 8-17,Added,12-602.5
1845,12-12-17,1,"App. A, § 2103"
,,,"App. A, § 3191"
,,,"App. A, § 3201"
,,Added,"App. A, § 4524.1"
,,,"App. A, § 5220"
1849,1- 9-18,1,22-129
1856,1- 9-18,1  Added,22-600—22-605
1670,8-13-13,1,12-309
1848,3-13-18,1,15-101
,,,15-201—15-203
,,,15.5-102
1863,4-25-18,1,18-201
,,,18-400
,,,20-206
,,,24-301
,,,24-306
,,,24-314
,,,"24-601, 24-602"
1864,10- 1-18,1,14-107
1869,7-10-18,1,14-110.5
1883,3-12-19,1,"App. A, § 2103"
,,,"App. A, § 3040"
,,,"App. A, § 3042"
1884,2-12-19,1,"App. A, § 3150, 3151"
,,,"App. A, § 3155"
,,,"App. A, § 4528.2"
1885,1- 8-19,1  Added,2-104(f)
,,1  Added,2-108(e)(1)
1888,4- 9-19,Added,"App. A, § 2103"
,,,5-118
,,,5-204
1889,6-11-19,1,"21-612(c)(i), (ii)"
1891,4-23-19,1,18-201
,,,18-400
,,,20-206
,,,24-301
,,,24-306
,,,24-602
1894,9-10-19,1,20-130(c)
,,Added,20-139
1900,9-10-19,1,2103
,,,3141—3143
,,Added,4421
1908,11-12-19,1,"App. A, §§ 3241"
,,,3246
,,,3249.2
1909,11-12-19,,21-100
,,,12-107
,,,"21-115, 21-116"
,,Added,21-116.5
,,,"21-117, 21-118"
,,Added,"21-119, 21-120"
,,Rnmd,21-118
,,as,21-121
1913,11-12-19,1,14-200
1918,1-14-20,1,16-116
,,,16-200
1920,3-10-20,2  Added,20-500—20-502
1923,10-13-20,1,12-500—12-503.1
,,,12-507
1924,7-14-20,2,"App. A, § 2103"
,,,"App. A, § 3052"
,,,"App. A, § 3062"
,,,"App. A, § 3082"
,,,"App. A, § 3142"
,,,"App. A, § 3182"
,,,"App. A, §§ 3271, 3272"
,,,"App. A, §§ 3280—3283"
,,,"App. A, § 3287"
,,Added,"App. A, §§ 3289, 3290"
,,,"App. A, § 4543"
1930,4-28-20,1,18-201
,,,18-400
,,,24-301
,,,24-306
,,,"24-601, 24-602"
,,Added,24-616
1921,1-12-21,,"App. A, § 1153"
1945,11-10-20,1  Added,22-1100—22-1107
1951,1-12-21,1  Added,14-114
1953,1-12-21,,12-414
1960,4-27-21,1,"18-201  18-400  20-206  24-301  24-306  24-314  24-601, 24-602"
1961,5-11-21,1,22-400
,,Rpld,22-800—22-803
1963,5-11-21,1,5-200
1969,9-14-21,1,"App. A, § 1109"
