Code of  Virginia,halifax_county
1-202 et seq.,1-2
1-210,1-2
"1-216, 1-217","1-2, 1-3"
1-222,1-2
"1-227, 1-228",1-2
1-230,1-2
1-243,1-14
1-250,1-2
1-257,1-2
2.2-614.1,2-189
2.2-4300 et seq.,2-200
,2-202
,2-204
2.2-4302,2-206
2.2-4343,2-205
,2-206
3.1-796.66,5-1
,"5-8, 5-9"
,5-26
3.1-796.66 et seq.,5-29
3.1-796.68,5-1
,5-29
3.1-796.73,5-7
,5-9
3.1-796.85,5-30
,5-71
3.1-796.86,5-76
"3.1-796.87,  3.1-796.88","5-78, 5-79"
3.1-796.89,5-75
3.1-796.90—  3.1-796.92,5-72—5-74
3.1-796.93,5-34
3.1-796.93:1,5-28
3.1-796.96,5-29
,5-107
3.1-796.96:2(D),5-29
3.1-796.96:5(F)(2),5-29
3.1-796.96:7(A)(2),5-29
3.1-796.97,5-77
3.1-796.97:1,5-106
3.1-796.98,5-107
"3.1-796.101,  3.1-796.102",5-81
3.1-796.103,5-80
3.1-796.104,5-2
3.1-796.104:1,5-2
,5-28
3.1-796.105,5-29
3.1-796.107,5-5
3.1-796.115,5-9
3.1-796.116,5-32
3.1-796.118,5-33
3.1-796.119,5-28
3.1-796.121,"5-5, 5-6"
3.1-796.122,"5-8, 5-9"
3.1-796.122(A)(iii),5-9
3.1-796.122(B)(ii),5-9
3.1-796.124,5-26
3.1-796.125,5-11
,5-26
3.1-796.126:1,5-108
3.1-796.127,5-31
3.1-796.128,5-35
4.1-100,20-21(1)
,20-900
4.1-129,29-4
9.1-400 et seq.,35-1
"tit. 10.1, art. 3, ch. 5",17-15
10.1-560,17-15
10.1-560 et seq.,8-5
,Ch. 17
,"Ch. 17, Art. II"
,17-16
,47-86
10.1-561,17-20
10.1-562,17-20
10.1-562.J,17-22
10.1-563(D),17-23
10.1.564,17-23
10.1-570,17-20
10.1-604 et seq.,17-15
10.1-1005,5-5
10.1-1100 et seq.,17-15
,32-3
10.1-1135 et seq.,"Ch. 23, Art. II"
10.1-1158,"Ch. 23, Art. II"
10.1-1163(B),17-15
15.1-5100 et seq.,38-30
"tit. 15.2, ch. 43","54-2, 54-7"
15.2-106,2-189
15.2-900,8-8(h)
15.2-906,8-8(d)(6)
,8-8(g)(1)
15.2-906—  15.2-908.1,8-8
15.2-913,"Ch. 11, Art. V"
15.2-917,53-103
15.2-926,29-3
15.2-926.1,5-138
15.2-926.2,"Ch. 29, Art. II,  Div. 2"
,29-47
15.2-930,38-3
15.2-974,"Ch. 29, Art. III"
15.2-1200,"Ch. 11, Art. II"
15.2-1210,"Ch. 5, Art. IV"
15.2-1211,Ch. 14
,14-19
15.2-1231,2-200
,2-201
,2-202
,2-204
15.2-1233 et seq.,2-200
,2-202
,2-204
15.2-1235,2-205
15.2-1236,2-206
15.2-1237,2-207
15.2-1238—15.2-1240,2-208
15.2-1400—  15.2-1543,Ch. 2
15.2-1543,2-200
,2-203
,2-204
"15.2-1414.2,  15.2-1414.3",35-2
15.2-1427,1-10
,1-12
,44-27
15.2-1429,1-15
15.2-1433,1-1
15.2-1511,35-1
15.2-1613.1,20-318
15.2-1716,32-6
15.2-1719,"Ch. 2, Art. V"
,2-160
15.2-1720,"Ch. 2, Art. V"
"15.2-1720,  15.2-1721",2-160
15.2-1731,"Ch. 2, Art. IV"
15.2-2019,44-40
15.2-2024,44-40
15.2-2108,"Ch. 11, Art. III"
15.2-2157,"Ch. 50, Art. II"
,"Ch. 50, Art. II,  Div. 2"
15.2-2204,53-46
15.2-2210,"Ch. 2, Art. III,  Div. 2"
,2-64
15.2-2211,2-69
15.2-2211—  15.2-2219,"Ch. 2, Art. III,  Div. 2"
15.2-2212,2-65
15.2-2217,2-66
"15.2-2217,  15.2-2218","2-68, 2-69"
15.2-2219,2-69
15.2-2221,"Ch. 2, Art. III,  Div. 2"
,2-67—2-69
15.2-2222,"Ch. 2, Art. III,  Div. 2"
15.2-2240,Ch. 47
15.2-2240—  15.2-2279,Ch. 47
15.2-2241,47-41
15.2-2262,47-41
15.2-2264,47-41
15.2-2271 et seq.,53-6
15.2-2280—  15.2-2316,Ch. 53
15.2-2294,Ch. 56
,56-1
15.2-2307,53-72
15.2-2314,53-49
"15.2-2510,  15.2-2511",20-206
15.2-4300 et seq.,"54-2, 54-4"
15.2-4302,54-3
15.2-4303,54-5
15.2-4304,54-4
15.2-4305,54-5
15.2-4306,54-6
15.2-4307,"54-7, 54-8"
,54-10
15.2-4308,54-9
15.2-4309,"54-5, 54-11"
15.2-4311,54-5
,54-13—54-17
15.2-4312,54-12
15.2-4314,54-13
15.2-4900 et seq.,41-122
16.1-106,29-4
16.1-278 et seq.,32-1
17.1-281,"Ch. 20, Art. IX"
,20-316
,20-319
tit. 18.2,Ch. 29
18.2-11,1-15
,20-384
18.2-12,1-15
18.2-36.1,32-6
18.2-51.4,32-6
18.2-97,5-10
18.2-102,29-1
18.2-111,20-912
18.2-146,32-2
"18.2-223,  18.2-224","Ch. 11, Art. IV"
18.2-248,2-190
18.2-248.03,2-190
18.2-266,32-6
18.2-266 et seq.,32-1
18.2-266.1,32-6
18.2-324,32-5
18.2-325 et seq.,"Ch. 29, Art. II"
18.2-344 et seq.,11-45
,11-61
18.2-371.2(C),29-75
18.2-372,29-48
18.2-372 et seq.,"Ch. 29, Art. II,  Div. 2"
,29-47
18.2-383,29-50
18.2-388,29-29
18.2-390,29-74
18.2-390 et seq.,"Ch. 29, Art. II,  Div. 2"
,29-47
18.2-390(2),29-48
18.2-391,"Ch. 29, Art. II,  Div. 3"
,29-75
18.2-391.1,29-76
18.2-461,29-2
18.2-510,5-5
19.2-52 et seq.,11-24
19.2-59,1-15
19.2-74,1-15
19.2-260 et seq.,5-9
20-767,20-769
23.1-100,20-741
23.1-105,20-741
24.2-304.1,Ch. 14
,14-19
24.2-304.3,Ch. 14
,14-19
24.2-305,Ch. 14
,14-19
24.2-306,Ch. 14
,14-19
24.2-307,Ch. 14
24.2-309.2,"Ch. 14, Art. II"
,"Ch. 14, Art. III"
24.2-310,Ch. 14
,14-19
24.2-310.1,Ch. 14
24.2-311,Ch. 14
,14-19
24.2-712,14-55
27-1 et seq.,Ch. 23
27-15.1,32-3
27-100.1,"Ch. 29, Art. III"
,29-99
tit. 29.1,5-8
29.1-526,5-136
29.1-528,5-137
29.1-738,32-6
29.1-738.02,32-6
29.1-926.1,5-138
32.1-12,50-114
32.1-163 et seq.,"Ch. 50, Art. II,  Div. 2"
32.1-170,50-114
33.1-348,53-1
36-85.3,20-767
36-97 et seq.,Ch. 8
36-97—36-119,8-1
36-105,8-3
,8-6
36-106,8-9
tit. 38.2,11-182
40.1-79.1,23-17
40.1-100,23-17
40.1-103,23-17
42.1-60 et seq.,"Ch. 20, Art. VIII"
42.1-70,"Ch. 20, Art. VIII"
tit. 46.2,Ch. 32
,32-1
46.2-100,20-21(4)
46.2-102,20-810
46.2-224,"Ch. 2, Art. III,  Div. 3"
46.2-300 et seq.,32-6
46.2-341.24,32-6
46.2-739,20-809
46.2-752,"Ch. 20, Art. XV"
,20-800
,20-810
46.2-752(A),20-801
46.2-752(K),20-810
46.2-755,"Ch. 20, Art. XV"
,20-800
,20-809
46.2-755(A),20-810
46.2-852 et seq.,32-6
46.2-888—  46.2-891,32-3
46.2-894,32-6
46.2-1300 et seq.,"32-28, 32-29"
46.2-1306,23-8
46.2-1313,32-1
46.2-2075,20-809
53.1-68,20-900
53.1-120,20-317
54.1-400 et seq.,17-15
54.1-3029,11-19
54.1-3029 et seq.,"Ch. 11, Art. II"
54.1-4100,11-203
54.1-4100 et seq.,"Ch. 11, Art. V,  Div. 3"
54.1-4101,11-207
54.1-4101.1,11-208
54.1-4102,11-206
54.1-4103,11-211
54.1-4104,"11-209, 11-210"
54.1-4105,11-210
"54.1-4106,  54.1-4107","11-212, 11-213"
54.1-4109,11-205
54.1-4110,11-214
54.1-4300,20-498
55-210.1 et seq.,"Ch. 2, Art. V"
,2-160
55-306,5-4
55-306—55-309,5-3
55-310,"5-3, 5-4"
55-310—55-316,5-3
56-265.1 et seq.,20-202
56-484.13,20-202
56-594,20-97
,53-148
tit. 58.1,Ch. 20
,20-847
"tit. 58.1, ch. 31,  arts. 1, 2",20-909
"tit. 58.1, ch. 32,  art. 4",20-840
58.1-15,20-343
58.1-600 et seq.,"Ch. 20, Art. III"
,20-68
58.1-605,"Ch. 20, Art. III"
58.1-605.1,20-70
58.1-606.1,20-71
58.1-814,"Ch. 20, Art. VII"
58.1-1200 et seq.,20-342
58.1-1201,20-340
58.1-1201 et seq.,"Ch. 20, Art. X"
,20-341
58.1-1204,20-341
58.1-1205,20-340
58.1-1207,20-342
"58.1-1210,  58.1-1211",20-341
"58.1-1211,  58.1-1212",20-342
58.1-1216,20-343
58.1-1718,"Ch. 20, Art. VI"
"58.1-1821,  58.1-1822",20-419
58.1-2401,20-809
58.1-2402(A)(4),20-809
58.1-2600 et seq.,20-151
58.1-2901,20-99
,20-100
58.1-3210,20-766—20-768
,20-772
58.1-3210 et seq.,20-771
58.1-3210—  58.1-3218,"Ch. 20, Art. XIV"
58.1-3211,"20-767, 20-768"
"58.1-3212,  58.1-3213","20-768, 20-769"
58.1-3213.1,20-772
"58.1-3214,  58.1-3215","20-770, 20-771"
58.1-3217,20-767
,20-769
58.1-3229 et seq.,54-12
58.1-3230,20-841
58.1-3233,20-841
58.1-3234,20-841
58.1-3237,20-845
58.1-3245.10,41-123
58.1-3253,20-20
58.1-3330,20-54
58.1-3373,20-50
,20-51
,20-52
58.1-3374,20-51
,20-52
58.1-3375,20-51
,20-52
58.1-3376,20-52
,20-53
58.1-3377,20-52
58.1-3378,20-52
,20-54
58.1-3379,20-52
58.1-3381,20-52
58.1-3382,20-52
58.1-3383,20-52
58.1-3384,20-52
58.1-3385,20-52
58.1-3386,20-52
58.1-3387,20-52
58.1-3388,20-52
58.1-3389,20-52
"58.1-3504,  58.1-3505",20-19
58.1-3660,20-741
58.1-3700,20-413
58.1-3700 et seq.,"Ch. 20, Art. XII"
58.1-3700.1,20-412
58.1-3701,20-412
,20-416
58.1-3703,"Ch. 20, Art. XII,  Div. 5—  Ch. 20, Art. XII,  Div. 10"
,20-530
,20-559
,20-584
,20-608
,20-639
,20-722
58.1-3703(C),"Ch. 20, Art. XII"
58.1-3703(C)(10),20-125
58.1-3703.1(A)(1)—  58.1-3703.1(A)(9),20-414—20-422
58.1-3706,"Ch. 20, Art. XII,  Div. 6—  Ch. 20, Art. XII,  Div. 10"
,20-530
,20-584
,20-608
,20-639
58.1-3714,"Ch. 20, Art. XII,  Div. 5"
,20-530
58.1-3714(D),20-531
58.1-3715,"Ch. 20, Art. XII,  Div. 5"
,20-412
,20-414
,20-416
,20-530
58.1-3716,"Ch. 20, Art. XII,  Div. 9"
,20-639
58.1-3717,"20-498, 20-499"
58.1-3717(D),20-500
58.1-3719,20-500
58.1-3719.1,"Ch. 20, Art. XII,  Div. 12"
,20-721
58.1-3720,"Ch. 20, Art. XII,  Div. 11"
,"20-695, 20-696"
"58.1-3721,  58.1-3722","20-695, 20-696"
58.1-3726,"Ch. 20, Art. XII,  Div. 3"
58.1-3727,20-498
,20-667
58.1-3728,20-722
,20-723
58.1-3731,"Ch. 20, Art. XII,  Div. 2"
58.1-3800,20-270
58.1-3800—  58.1-3804,"Ch. 20, Art. VII"
58.1-3801,20-270
58.1-3803,20-271
58.1-3805,20-238
58.1-3805—  58.1-3808,"Ch. 20, Art. VI"
58.1-3806,20-238
58.1-3812,20-126
"58.1-3812(C), (K)",20-126
58.1-3812(M),20-125
58.1-3812—  58.1-3816.1,"Ch. 20, Art. IV"
58.1-3813.1,"Ch. 20, Art. V"
,20-203
58.1-3813.1(A),20-202
"58.1-3813.1(F), (G)",20-206
58.1-3814,20-99
,20-100
,20-151
58.1-3814(C)—(J),20-151
58.1-3814(E),20-152
58.1-3814(F)(1),20-151
"58.1-3814(F), (G)",20-99
58.1-3814(H)—(J),20-100
58.1-3815,20-97
58.1-3819,"Ch. 20, Art. XI"
58.1-3833,"Ch. 20, Art. XVII"
58.1-3850,"Ch. 41, Art. II"
,41-19
,41-23
,41-122
58.1-3903,20-417
58.1-3906,20-912
58.1-3913,20-44
58.1-3915,20-45
58.1-3916,20-98
,20-415
58.1-3940,20-417
58.1-3940 et seq.,8-8(g)(3)
58.1-3965 et seq.,8-8(g)(3)
58.1-3984,20-417
,20-420
58.1-3986,20-416
58.1-3990,20-47
58.1-3993,20-416
63.2-1700 et seq.,53-175
,53-238
,53-267
64.1-134,20-238
64.1-135,20-238
