Ordinance Number,Date,Section,Section  this Code
,,,"13.5-64—13.5-68,"
,,,"13.5-80, 13.5-81,"
,,,"13.5-92—13.5-96,"
,,,"13.5-107—13.5-115,"
,,,13.5-121—13.5-127
96-1700-549,9-17-96,Added;r;,"17.1-1, 17.1-2,"
,,,"17.1-21—17.1-28,"
,,,17.1-31—17.1-34
96-1700-552,12-17-96,Rpld;r;,"14-1—14-28,"
,,,"14-38—14-55,"
,,,"14-114—14-117,"
,,,"14-126—14-137,"
,,,14-148—14-179
,,Added;r;,"14-1—14-32,"
,,,"14-38—14-58,"
,,,"14-114—14-117,"
,,,"14-126—14-137,"
,,,14-148—14-179
96-1700-553,12-17-96,Added;r;,14-180—14-183
96-1700-547a,8- 6-96,,2-142
96-1700-558,3- 4-97,,2-75
96-1700-560,4-22-97,,22-16
96-1700-562,5-20-97,Added,24-37
96-1700-563,7- 1-97,,24-3
,,,24-35
96-1700-565,7-15-97,,22-50
96-1700-567,8- 5-97,,14-116(b)
96-1700-568,7-15-97,,7-18(b)
96-1700-569,9- 1-97,,14-114
96-1700-570,9- 2-97,,14-130
96-1700-571,10- 7-97,,25-8(b)
97-1700-573,10-21-97,Added,24-38
97-1700-575,12-16-97,,25-8(b)
98-1700-580,5-19-98,,14-1
,,,14-16
,,,14-18
,,Added,14-39A
98-1700-585,6- 2-98,Rnbd,24-28(e) as (f)
,,Added,24-28(e)
98-1700-586,7- 7-98,,"24-3, 24-35"
98-1700-587,8- 4-98,,22-50
98-1700-589,10- 6-98,Rpld,2-208—2-211
99-1700-598,2-16-99,,9-100—9-107
99-1700-600,3- 2-99,1  Rpld,7.5-1—7.5-66
,,Added,7.5-1—7.5-19
99-1700-605,6-15-99,1,25-8(b)
99-1700-606,6- 1-99,1,24-28(d)
99-1700-607,6- 1-99,1,25-8(b)
99-1700-609,7- 6-99,,24-3
,,,24-35
99-1700-612A,9-21-99,,2-9
00-1700-616,1-18-00,1,2-23
,,2,2-39
,,3,2-45
00-1700-617,1-18-00,1,14-47(a)
00-1700-618,2-15-00,1,22-27(1)
,,2,22-31(2)
2000-1700-619,3- 7-00,1,25-28
00-1700-620,3- 7-00,1  Rpld,"5-1—5-8,"
,,,"5-19—5-28,"
,,,"5-36—5-42,"
,,,"5-55—5-65,"
,,,"5-66—5-73,"
,,,5-74—5-76
,,Added,5-1
,,,5-2—5-10
,,,5-19—5-30
,,,"5-36—5-42,"
,,,5-53—5-76
00-1700-624,4-18-00,1,22-33—22-39
00-1700-626,5-16-00,1,14-130
00-1700-627,6- 6-00,1,22-120—22-123
,,,"22-129, 22-130,"
,,,22-132
00-1700-628,6- 6-00,1,17-57(a)
00-1700-629,6-20-00,1,22-33—22-39
00-1700-630,7- 5-00,,"24-3, 24-35"
00-1700-631,7- 5-00,1,"22-123, 22-130"
2000-1700-632,11- 6-00,1  Rpld,15-1—15-15
,,Added,15-1—15-10
00-1700-633,10- 3-00,1,17-9
2000-1700-634,10- 3-00,1,25-24
,,2  Rpld,25-27
2000-1700-636,10-17-00,1,34-28(d)
2000-1700-637,10-17-00,1  Rpld,22-77—22-83
,,Added,22-77—22-82
2000-1700-638,10-17-00,1,"24-47, 24-48,"
,,,"24-53.1, 24-53.2,"
,,,24-57.1
,,2  Rpld,24-64—24-76
00-1700-640,12-19-00,1,14-114—14-129
2000-1700-641,12-19-00,1,22-50
01-1700-642,1-16-01,1,11-52
01-1700-634,1-16-01,1,25-8(b)
2001-1700-645,1-16-01,1,"14-117, 14-120(a)"
,,,"14-125(c), 14-126"
01-1700-648,2- 6-01,1  Rpld,17-13(10)
,,2,17-30(2)
,,3,"17-31(b), (c)"
,,4,17-37
,,5  Added,17-32(b)
,,6  Added,17-33(b)
,,7  Added,17-34(b)
,,8  Added,17-35(b)
01-1700-649,2- 6-01,1,22-16
01-1700-650,2- 6-01,1  Added,24-27(e)
,,2,24-28(d)
01-1600-651,2-20-01,1  Rpld,31-17(k)(2)
01-1700-652,2- 6-01,1,31-16(g)(1)
01-1700-660,4-17-01,1,31-29(f)(4)
01-1700-661,4-17-01,1  Added,31-29(e)(14)
01-1700-662,4-17-01,1  Added,31-17.A
01-1700-665,5-15-01,1,2-175
01-1700-670,7- 3-01,,"24-3(b), 24-35"
01-1700-671,7- 3-01,1,"25-24(c), (f)"
01-1700-672,7- 3-01,1,25-8(c)—(f)
01-1700-675,7-17-01,1,22-31
01-1700-676,7-17-01,1,2-125
,,2,2-126
01-1700-677,11- 7-01,1,17.1-33
01-1700-678,11-20-01,1,24-2
,,2,24-10
,,3  Added,"24-48(a)(16), (17)"
,,4,"24-57.1(a), (b), (d)"
01-1700-679,12- 4-01,1  Added,31-46(c)
01-1700-681,4-16-02,1  Added,25-13
02-1700-682,4-16-02,1  Added,22-80(e)
,,2  Rltd,22-80(e)—(g)
,,as,22-80(f)—(h)
02-1700-685,5-21-02,1,2-75
02-1700-686,5-21-02,1,5-19
,,2,5-29
02-1700-687,6- 4-02,1,22-27
,,2,22-28
,,3,22-31
02-1700-688,7- 2-02,,"24-3, 24-35"
02-1700-689,7- 2-02,Added,2-13
02-1700-691,9- 3-02,1,"2-141(note),"
,,,"2-142, 2-143"
02-1700-692,10- 1-02,1  Added,24-28(e)
02-1700-695,12- 3-02,1,2-1
02-1700-696,12- 3-02,1,15-3
,,2,15-4(c)
,,3,15-5(4)
02-1700-697A,12-17-02,1,31-33
03-1700-699,1- 3-03,,31-20
03-1700-700,1-21-03,1,19.5-11—19.5-21
03-1700-701,3- 4-03,1,22-33
,,,22-35—22-38
03-1700-702,3-18-03,1,31-29(f)(4)c.i.
03-1700-703,3-18-03,,14-123(b)
03-1700-704,3-18-03,1,24-50
03-1700-705,4- 1-03,1  Added,15-5(10)
03-1700-706,4- 1-03,1  Added,24-39
03-1700-707,4- 1-03,,2-36—2-42
03-1700-707A,7- 1-03,1,22-152
03-1700-712,5-20-03,1  Added,31-33.1
,,6  Added,31-38(22)
03-1700-713,5-20-03,1,2-7
03-1700-718,7- 1-03,1,31-33(3)
03-1700-719,7- 1-03,,"24-3, 24-35"
03-1700-720,7-15-03,1  Added,31-45(c)
03-1700-721,8-19-03,1,2-13
03-1700-722,8-19-03,1,17-15
03-1700-723,8-19-03,1  Added,2-14
03-1700-724,9- 2-03,1,31-7
,,2  Added,31-17.B
03-1700-726,9- 2-03,1,24-58—24-62
,,Rpld,24-63
03-1700-727,10 7-03,,2-6
03-1700-728,10-21-03,1  Added,13-6
03-1700-731,11-18-03,1,24-27(e)
,,2,24-28(d)
03-1700-733,12-23-03,1,31-17(j)
04-1700-736,2- 3-04,1  Rpld,11-1—11-60
,,Added,11-2—11-162
04-1700-737,2- 3-04,1,2-76(c)
04-1700-738,2-17-04,1,25-33
04-1700-739,2-17-04,1,22-27(2)
,,2,"22-31(1), (2)"
04-1700-740,2-17-04,1  Added,24-34.1
04-1700-742,3-16-04,1,31-19
04-1700-743,3-16-04,Rpld,9-1—9-107
,,Added,9-1—9-124
04-1700-744,3-30-04,1  Added,31-56
,,Rnbd,31-56
,,as,31-57
04-1700-746,4-20-04,1  Rnbd,31-57
,,as,31-58
,,2  Added,31-57
,,3,31-46(c)(1)
04-1700-747,4-20-04,Rpld,7-1—7-24
,,Added,7-1—7-12
04-1700-748,6- 1-04,1,22-152
04-1700-750,7- 1-04,,"24-3, 24-35"
04-1700-751,7- 1-04,,"24-3, 24-35"
04-1700-753,7-20-04,1,2-23
,,2,2-39
04-1700-754,7-20-04,1,31-6
04-1700-755,7-20-04,1,31-30(c)(1)
,,2  Added,31-30(c)(2)
04-1700-756,7-20-04,2  Added,31-30(d)(6)
04-1700-757,8-17-04,1,22-47
04-1700-758,8-17-04,1  Added,24-14
04-1700-759,8-17-04,1,2-122
04-1700-764,9-21-04,1,22-35
04-1700-766,10-19-04,1  Added,31-32(c)(10)
04-1700-767,10-19-04,1,31-6
,,2  Added,31-19(d)(12)
,,3,31-17(d)
04-1700-768,10-19-04,1,31-41(a)
04-1700-769,11-11-04,1,25-126—25-133
,,Added,25-134—25-137
04-1700-770,11-11-04,1,31-17.A(b)(2)
04-1700-771,11-23-04,Added,2-77
04-1700-772,12-21-04,1,17.1-33
04-1700-773,12-21-04,,2-77
05-1700-780,5-31-05,,22-80(d)
05-1700-782,6-21-05,1,31-45(c)
05-1700-783,6-21-05,,"24-3, 24-35"
05-1700-784,7-19-05,1  Added,Art. I (tit.)
,,,13-11—13-19
05-1700-789,11-15-05,1,31-17.A(e)
05-1700-795,12-20-05,Added,19.4-1—19.4-12
05-1700-775,2-15-05,2,2-1
05-1700-777,3- 8-05,"1, 2",2-1
06-1700-801,3-14-06,1,22-26
,,,22-28
,,,22-31
06-1700-806,5-16-06,1  Added,22-201—22-204
06-1700-807,6-29-06,,24-3
,,,24-35
06-1700-808,6-29-06,1,25-25
06-1700-809,7-18-06,1a.  Rpld,2-10
,,1b.  Rnbd,2-1—2-9
,,as,2-2—2-10
,,1c.  Added,2-1
06-1700-810,8-28-06,1,31-29(e)(12)
,,Added,"31-29(f)(3)d, (f)(4)h"
06-1700-811,9-19-07,Rpld,8-1—8-31
,,Added,8-1—8-8
06-1700-812,9-19-06,,31-6
,,a.  Rpld,31-19(b)(6)
,,Rnbd,31-19(b)(7)—(15)
,,as,31-19(b)(6)—(14)
,,b.  Added,31-19(d)(13)
,,"a., b.",31-27
06-1700-813,9-19-06,Added,31-33(b)(3)c
06-1700-814,9-19-06,,31-52—31-55
06-1700-815,9-19-06,,31-19(d)(10)
06-1700-816,9-19-06,2,31-19(d)(10)
06-1700-817,11-21-06,1,24-38
06-1700-818A,12-12-06,,31-6
,,Rpld,31-15(c)(3)
06-1700-818B,12-12-06,Rpld,31-17.A.(d)(2)
,,,(k)
06-1700-818C,12-12-06,Rpld,"31-17.A.(d)(2), (4)"
,,Rnbd,(3)
,,as,(2)
,,,"(g), (k)"
06-1700-818D,12-12-06,Added,31-17.A.(d)(5)
06-1700-818E,12-12-06,Rpld,31-18(b)(2)
,,Added,(d)(2)
06-1700-818F,12-12-06,Added,31-19(d)(14)
06-1700-818G,12-12-06,1  Added,31-33.2
06-1700-818H,12-12-06,,31-34
,,,31-52—31-55
07-1700-820,1- 9-07,1—7  Added,2-225—2-231
07-1700-821,2-20-07,1,13-2
,,Added,Cross refs.
,,2  Added,20-3 cross refs.
,,3  Added,28-48(a)(18)
,,Added,Cross refs.
07-1700-822,2-20-07,,2-205(b)
07-1700-824,2-20-07,10,22-27(1)
07-1700-829,5-15-07,1,2-13(a)
07-1700-830,5-15-07,1,"Ch. 2, Art. IX title"
,,,2-156
,,,2-157
07-1700-831,5-17-07,5  Added,17-39.1(c)
07-1700-832,5-15-07,1  Added,9-125—9-129
07-1700-833,6-19-07,,24-3
,,,24-35
07-1700-834,6-19-07,1  Added,"Ch. 22, Art. II, Div. 2 (tit.)"
,,,"22-26(3),(4)"
,,,22-28
07-1700-837,7-17-07,1,31-28(a)(2)
,,2,31-28(c)
07-1700-840,9-18-07,1,31-29(f)(4)c.ii.
07-1700-841,11-20-07,1,31-20(b)(8)
,,2,31-20(c)
,,Added,31-20(c)(2)
08-1700-844,2-19-08,1,2-201
08-1700-846,3- 4-08,,"25-7, 25-8"
08-1700-847,3-11-08,1  Added,13.1-1—13.1-10
08-1700-849,3-18-08,1,31-29(d)2c
08-1700-854,6-17-08,,"24-3(b), 24-35"
08-1700-855,7-16-08,1  Rpld,25-24
,,Added,25-24
08-1700-856,10-21-08,1  Rpld,"31-46(c)(1)b—d, g—i"
,,Rnbd,"31-46(c)(1)e, f, j"
,,as,31-46(c)(1)b—d
08-1700-860,11-18-08,1,2-182(e)
,,2,2-205(b)
,,3,22-1
09-1700-864,2-17-09,1,31-6
,,2,31-17.B
,,3,31-33(j)
09-1700-869,4-21-09,1  Added,24-28.1
09-1700-874,6-16-09,1  Rpld,18-21—18-24
,,Added,18-21—18-24
09-1700-876,6-16-09,,24-3
,,,24-35
09-1700-878,9-15-09,1  Rpld,24-5
,,Added,24-5
09-1700-880,10-20-09,1  Added,2-15
10-1700-885,2- 2-10,1  Added,24-48(a)(19)
10-1700-888,4-20-10,1,24-28(e)
10-1700-891,6-15-10,,24-3
,,,24-35
10-1000-892,6-15-10,Added,2-163(note)
10-1700-894,8- 5-10,1,Ch. 8(title)
,,2  Added,"Ch. 8, Art. I(title)"
,,3  Added,8-11—8-30
10-1700-889,5-18-10,1,22-27
,,2,"22-27(1), (2)"
,,3,22-28
,,"4, 5","22-31, 22-32"
11-1700-901,4-19-11,1,2-8
11-1700-902,4-19-11,1  Rpld,22-7
,,Added,22-7
11-1700-903,5-24-11,1,"Ch. 31, Art. X(title)"
,,Rnbd,31-34
,,as,31-54.1
,,2,31-6
,,3,31-14(d)
,,4,31-15(d)
,,5,31-16(d)
,,6,31-17(d)
,,7,31-17.A(d)
,,8,31-17.B(c)
,,9,31-18(d)
,,10,31-19(d)
,,11,31-20(c)
11-1700-904,5-24-11,1,31-44(title)
,,Added,31-44(c)
,,2  Rnbd,31-46(c)(7)
,,as,31-44(d)
,,3  Rpld,31-46(c)(8)
11-1700-905,5-24-11,1  Added,31-52(c)
,,2,31-49(b)(3)
,,"3, 4","31-55(b)91), (c)(1)"
11-1700-906,5-24-11,1  Rpld,14-114
,,,14-115—14-129
,,,24-50(b)
11-1700-910,6-21-11,,24-3
,,,24-35
11-1700-911,6-21-11,1  Added,31-52(d)
11-1700-914,11- 1-11,1  Added,26-3(tit.)
,,Added,26-3(c)
,,2,26-5(tit.)
,,,26-5
12-1700-916,1-24-12,1,31-6
,,2,31-17.A
,,3  Added,31-19.A
,,4  Added,31-20.A
12-1700-917,2- 7-12,1  Added,22-210—22-227
12-1700-920,4- 3-12,1,14-120(b)
12-1700-921,4- 3-12,1,31-6
12-1700-922,4- 3-12,1,31-20
12-1700-924,5- 1-12,1  Added,31-33.3
12-1700-927,5-15-12,1,25-24(a)—(c)
12-1700-930[A],6-19-12,1,31-29(f)(4)
12-1700-930[B],5-15-12,1  Added,31-13(h)
12-1700-931,7-31-12,1,31-31
12-1700-936,10- 2-12,1,"25-61—25-63,"
,,,"25-71—25-79,"
,,,25-86—25-100.9
13-1700-942,4-16-13,1,22-212
,,2,22-213
13-1700-945,7-16-13,,24-3
,,,24-35
14-1700-952,5-20-14,,2-203
14-1700-953,6- 3-14,,24-3
,,,24-35
14-1700-954,6- 3-14,1,5-25
,,,5-26
14-1700-956,6- 3-14,1,2-175
14-1700-957,7-15-14,1,8-1—8-56
14-1700-958,10- 7-14,1,7-1—7-12
14-1700-959,10-21-14,1,25-24—25-26
,,Rnbd,25-28—25-32
,,as,25-27—25-31
,,Added,25-32
,,,25-33
14-1700-963,12- 2-14,1,"22-27(1), (2)"
,,2,22-28
,,3,22-31
15-1700-964,2-24-15,2,2-2
15-1700-965,3- 3-15,1  Added,2-16
15-1700-970,6- 2-15,1  Added,24-40
15-1700-973,9- 1-15,1,14-114—14-129
16-1700-981,1- 5-16,1,"31-27, 31-28"
16-1700-982,2- 2-16,1,25-30
16-1700-983[A],4- 5-16,1,8-2—8-9
16-1700-983[B],4- 5-16,1  Rpld,8-56
,,2  Added,8-12(j)
,,3  Added,8-57—8-66
16-1700-987,5- 3-16,1,25-25(b)(3)a.
,,,25-31(a)
,,,"25-32(b), (c)(3)—(5)"
,,2  Added,25-34
16-1700-993,6-21-16,1  Rnbd,"Ch. 13.3, Art. II"
,,as,"Ch. 13.3, Art. III"
,,2  Added,13.3-15—13.3-20.1
17-1700-999,4- 4-17,1,14-1
,,,14-12
,,,14-15
,,Rpld,14-16
,,Rpld,14-18
,,,14-19
17-1700-1000,4-19-17,1,22-46
,,2,22-49
17-1700-1001,5- 2-17,1  Added,24-41
17-1700-1004,6- 6-17,1,22-152
17-1700-1005,5-16-17,1,14-114—14-126
17-1700-1007,8-15-17,1,24-41
18-1700-1011,2-20-18,1,2-8
,,2,2-127
18-1700-1013,3-20-18,1,15-3—15-6
,,,15-8
,,,15-10
18-1700-1015,6-19-18,1,1-2
,,2,21-46
,,3,31-10
,,4,31-29(c)(2)
,,5,31-32(c)(9)
,,6,31-33.2(a)
,,7,31-37(g)
,,8  Added,31-44.1
,,9,31-45(c)(4)e.
,,10,"31-52(b), (c)"
,,11,"31-54.1(g)(2), (5)"
,,12,31-56(c)(10)
18-1700-1016,6-19-18,,24-3
,,,24-35
18-1700-1019,6-19-18,1,24-53.1(a)
,,2,24-57.1
,,3  Added,24-57.2
18-1700-1020,6-19-18,1  Rpld,22-151—22-164
,,Added,22-151—22-165
18-1700-1022,7-17-18,1,31-29
,,2,31-33.2(b)
18-1700-1024,12- 4-18,1  Rnbd,31-15(h)
,,as,31-15(i)
,,Added,31-15(h)
19-1700-1028,1-22-19,1  Added,31-34
19-1700-1033,6- 4-19,1,14-114—14-128
19-1700-1034,6-25-19,1,2-23—2-27
19-1700-1037,7-16-19,1,2-10
19-1700-1039,7-16-19,,24-3
,,,24-35
19-1700-1041,12-17-19,1,24-57.2(a)
19-1700-1042,12-17-19,1,"31-17(b), (d)"
,,2,"31-17.A(b), (d)"
,,3,31-33.2(b)
20-1700-1044,1-21-20,1,22-212
20-1700-1045,2- 4-20,1,2-175
20-1700-1047,3- 4-20,1,31-6
,,2,31-20(b)(8)
,,Added,"31-20(d)(5), (6)"
20-1700-1048,3- 4-20,1  Added,"17.1-40, 17.1-41"
20-1700-1060,7-21-20,,24-3
,,,24-35
20-1700-1062,8-18-20,1  Rpld,24-49
,,2,24-47
20-1700-1063,9-15-20,1,20-3
20-1700-1064,9-15-20,1,24-48(a)(19)
20-1700-1065,10- 6-20,1,2-75
20-1700-1067,11- 4-20,1,2-175
20-1700-1068,11- 4-20,1,31-31
21-1700-1074,4- 6-21,1,31-27
21-1700-1075,5-18-21,1  Added,24-42
21-1700-1076,6-15-21,1  Added,24-43
21-1700-1080,6-22-21,,24-3
,,,24-35
